[CTRL] Starting...
[CTRL] Output dir: /home/diya/wildfire_sim/data_seed6/thermal_delay_50ms
[CTRL] TEMP_THRESHOLD=100.0  TIME_WINDOW=0.5s  (pair dt must be <= 0.5s AND <= 2000.0ms sync threshold)
[CTRL] Monitor: window=10.0s  stop_if_drop>50%
[MONITOR] up=590456s window=10s thermal=not_started imagery=not_started
[MONITOR] up=590466s window=10s thermal=not_started imagery=not_started
[MONITOR] up=590476s window=10s thermal=not_started imagery=not_started
[MONITOR] up=590486s window=10s thermal=not_started imagery=not_started
[MONITOR] up=590496s window=10s thermal=not_started imagery=not_started
[MONITOR] up=590506s window=10s thermal=not_started imagery=not_started
[MONITOR] up=590516s window=10s thermal=not_started imagery=not_started
[MONITOR] up=590526s window=10s thermal=not_started imagery=not_started
[MONITOR] up=590536s window=10s thermal=not_started imagery=not_started
[MONITOR] up=590546s window=10s thermal=not_started imagery=not_started
[MONITOR] up=590556s window=10s thermal=not_started imagery=not_started
[MONITOR] up=590566s window=10s thermal=not_started imagery=not_started
[MONITOR] up=590576s window=10s thermal=not_started imagery=not_started
[MONITOR] up=590586s window=10s thermal=not_started imagery=not_started
[MONITOR] up=590596s window=10s thermal=not_started imagery=not_started
[MONITOR] up=590606s window=10s thermal=not_started imagery=not_started
[MONITOR] up=590616s window=10s thermal=not_started imagery=not_started
[MONITOR] up=590626s window=10s thermal=not_started imagery=not_started
[MONITOR] up=590636s window=10s thermal=not_started imagery=not_started
[MONITOR] up=590646s window=10s thermal=not_started imagery=not_started
[MONITOR] up=590656s window=10s thermal=not_started imagery=not_started
[MONITOR] up=590666s window=10s thermal=not_started imagery=not_started
[MONITOR] up=590676s window=10s thermal=not_started imagery=not_started
[MONITOR] up=590686s window=10s thermal=not_started imagery=not_started
[MONITOR] up=590696s window=10s thermal=not_started imagery=not_started
[MONITOR] up=590706s window=10s thermal=not_started imagery=not_started
[MONITOR] up=590716s window=10s thermal=not_started imagery=not_started
[MONITOR] up=590726s window=10s thermal=not_started imagery=not_started
[MONITOR] up=590736s window=10s thermal=not_started imagery=not_started
[MONITOR] up=590746s window=10s thermal=not_started imagery=not_started
[MONITOR] up=590756s window=10s thermal=not_started imagery=not_started
[MONITOR] up=590766s window=10s thermal=not_started imagery=not_started
[MONITOR] up=590776s window=10s thermal=not_started imagery=not_started
[MONITOR] up=590786s window=10s thermal=not_started imagery=not_started
[MONITOR] up=590796s window=10s thermal=not_started imagery=not_started
